Distrito,Año,Escenario,Poblacion ajustada_agua,Pob ajustada_Campo,,,
Uchumayo,2026,Alto,18824,,,,
Uchumayo,2027,Alto,19114,,,,
Uchumayo,2028,Alto,19408,,,,
Uchumayo,2029,Alto,19707,,,,
Uchumayo,2030,Alto,20010,,,,
Uchumayo,2031,Alto,20319,,,,
Uchumayo,2032,Alto,20631,,,,
Uchumayo,2033,Alto,20949,,,,
Uchumayo,2034,Alto,21271,,,,
Uchumayo,2035,Alto,21599,,,,
Uchumayo,2036,Alto,21931,,,,
Uchumayo,2037,Alto,22269,,,,
Uchumayo,2038,Alto,22612,,,,
Uchumayo,2039,Alto,22679,,,,
Uchumayo,2040,Alto,22745,,,,
Uchumayo,2041,Alto,22811,,,,
Uchumayo,2042,Alto,22876,,,,
Uchumayo,2043,Alto,22941,,,,
Uchumayo,2044,Alto,23005,,,,
Uchumayo,2045,Alto,23068,,,,
Uchumayo,2046,Alto,23131,,,,
Uchumayo,2047,Alto,23193,,,,
Uchumayo,2048,Alto,23254,,,,
Uchumayo,2049,Alto,23315,,,,
Uchumayo,2050,Alto,23375,,,,
Yanahuara,2023,Alto,27353,,,,
Yanahuara,2024,Alto,27391,,,,
Yanahuara,2025,Alto,27428,,,,
Yanahuara,2026,Alto,27466,,,,
Yanahuara,2027,Alto,27503,,,,
Yanahuara,2028,Alto,27540,,,,
Yanahuara,2029,Alto,27577,,,,
Yanahuara,2030,Alto,27613,,,,
Yanahuara,2031,Alto,27650,,,,
Yanahuara,2032,Alto,27686,,,,
Yanahuara,2033,Alto,27722,,,,
Yanahuara,2034,Alto,27759,,,,
Yanahuara,2035,Alto,27794,,,,
Yanahuara,2036,Alto,27830,,,,
Yanahuara,2037,Alto,27865,,,,
Yanahuara,2038,Alto,27901,,,,
Yanahuara,2039,Alto,27936,,,,
Yanahuara,2040,Alto,27971,,,,
Yanahuara,2041,Alto,28006,,,,
Yanahuara,2042,Alto,28040,,,,
Yanahuara,2043,Alto,28075,,,,
Yanahuara,2044,Alto,28109,,,,
Yanahuara,2045,Alto,28143,,,,
Yanahuara,2046,Alto,28177,,,,
Yanahuara,2047,Alto,28211,,,,
